,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc,parent_disease,gene_count,show_plots,use_class_weights,oversample,model_type
0,0.24850352108478546,98.0,1329.0,9486.0,15.0,0.8770132064819336,0.06867554038763046,0.8672566413879395,0.9530956745147705,0.3640105724334717,MESH:D019636,100,False,True,False,CNN
1,0.2711819112300873,102.0,1375.0,9437.0,14.0,0.8728953003883362,0.06905890256166458,0.8793103694915771,0.9537407755851746,0.4548394978046417,MESH:D019636,100,False,False,True,CNN
2,0.031047428026795387,41.0,19.0,10817.0,51.0,0.9935944080352783,0.6833333373069763,0.44565218687057495,0.9424533843994141,0.5106967687606812,MESH:D019636,100,False,False,False,CNN
3,0.1873566210269928,78.0,983.0,9861.0,6.0,0.9094985127449036,0.07351554930210114,0.9285714030265808,0.9781166911125183,0.633599042892456,MESH:D019636,100,False,True,False,DNN
4,0.13884465396404266,84.0,766.0,10048.0,30.0,0.9271596074104309,0.09882353246212006,0.7368420958518982,0.9329543709754944,0.5863692760467529,MESH:D019636,100,False,False,True,DNN
5,0.02179720439016819,51.0,7.0,10816.0,54.0,0.9944180250167847,0.8793103694915771,0.48571428656578064,0.9465591907501221,0.6614482402801514,MESH:D019636,100,False,False,False,DNN
6,0.2433842420578003,124.0,1555.0,10176.0,5.0,0.8684654235839844,0.07385348528623581,0.961240291595459,0.9756519198417664,0.5639493465423584,MESH:D019636,200,False,True,False,CNN
7,0.21744932234287262,96.0,1281.0,10471.0,12.0,0.8909780979156494,0.06971677392721176,0.8888888955116272,0.9530513882637024,0.4258262813091278,MESH:D019636,200,False,False,True,CNN
8,0.028105521574616432,39.0,1.0,11749.0,71.0,0.9939291477203369,0.9750000238418579,0.3545454442501068,0.8794448375701904,0.562807023525238,MESH:D019636,200,False,False,False,CNN
9,0.17994961142539978,96.0,969.0,10778.0,17.0,0.9168633818626404,0.09014084190130234,0.8495575189590454,0.9587177634239197,0.6389092803001404,MESH:D019636,200,False,True,False,DNN
10,0.10847949981689453,83.0,718.0,11040.0,19.0,0.9378583431243896,0.10362047702074051,0.813725471496582,0.9308343529701233,0.6494322419166565,MESH:D019636,200,False,False,True,DNN
11,0.02913535386323929,50.0,1.0,11744.0,65.0,0.9944350719451904,0.9803921580314636,0.43478259444236755,0.9360675811767578,0.6836923360824585,MESH:D019636,200,False,False,False,DNN
12,0.22950546443462372,91.0,1276.0,10903.0,14.0,0.8949853181838989,0.06656912714242935,0.8666666746139526,0.9586301445960999,0.44536012411117554,MESH:D019636,300,False,True,False,CNN
13,0.1895444244146347,107.0,1063.0,11093.0,21.0,0.9117551445960999,0.09145299345254898,0.8359375,0.9579679369926453,0.42034363746643066,MESH:D019636,300,False,False,True,CNN
14,0.026188453659415245,56.0,3.0,12151.0,74.0,0.993731677532196,0.9491525292396545,0.4307692348957062,0.9354932308197021,0.6298544406890869,MESH:D019636,300,False,False,False,CNN
15,0.17224907875061035,114.0,957.0,11201.0,12.0,0.9211168885231018,0.10644257813692093,0.9047619104385376,0.9767104387283325,0.7124669551849365,MESH:D019636,300,False,True,False,DNN
16,0.10279879719018936,93.0,665.0,11507.0,19.0,0.9443178176879883,0.12269129604101181,0.8303571343421936,0.9572681188583374,0.7026522159576416,MESH:D019636,300,False,False,True,DNN
17,0.02443831041455269,60.0,14.0,12151.0,59.0,0.994057297706604,0.8108108043670654,0.5042017102241516,0.924828052520752,0.6344614028930664,MESH:D019636,300,False,False,False,DNN
18,0.23045629262924194,115.0,1505.0,10833.0,18.0,0.8778766989707947,0.07098765671253204,0.8646616339683533,0.9551826119422913,0.4798561930656433,MESH:D019636,400,False,True,False,CNN
19,0.1945585012435913,94.0,1044.0,11316.0,17.0,0.9149225950241089,0.08260105550289154,0.8468468189239502,0.9578291177749634,0.4401794672012329,MESH:D019636,400,False,False,True,CNN
20,0.024170709773898125,57.0,17.0,12342.0,55.0,0.9942266345024109,0.7702702879905701,0.5089285969734192,0.9557061195373535,0.61997389793396,MESH:D019636,400,False,False,False,CNN
21,0.11077388375997543,94.0,612.0,11742.0,23.0,0.9490818977355957,0.13314448297023773,0.8034188151359558,0.9675297141075134,0.6748470067977905,MESH:D019636,400,False,True,False,DNN
22,0.11136861890554428,83.0,686.0,11669.0,33.0,0.9423462152481079,0.10793238133192062,0.7155172228813171,0.9006123542785645,0.5797694325447083,MESH:D019636,400,False,False,True,DNN
23,0.017401736229658127,64.0,5.0,12346.0,56.0,0.9951086640357971,0.9275362491607666,0.5333333611488342,0.9844163656234741,0.7310135364532471,MESH:D019636,400,False,False,False,DNN
24,0.21428117156028748,101.0,1255.0,11256.0,17.0,0.8992794156074524,0.07448377460241318,0.8559321761131287,0.9505577087402344,0.4896334409713745,MESH:D019636,500,False,True,False,CNN
25,0.17229825258255005,115.0,1000.0,11492.0,22.0,0.9190751314163208,0.1031390130519867,0.8394160866737366,0.9534702897071838,0.43570569157600403,MESH:D019636,500,False,False,True,CNN
26,0.024618452414870262,61.0,3.0,12493.0,72.0,0.994061291217804,0.953125,0.45864662528038025,0.9457275867462158,0.6261701583862305,MESH:D019636,500,False,False,False,CNN
27,0.10037022083997726,109.0,593.0,11900.0,27.0,0.9509066343307495,0.15527065098285675,0.8014705777168274,0.970600962638855,0.6670688390731812,MESH:D019636,500,False,True,False,DNN
28,0.11343309283256531,90.0,662.0,11845.0,32.0,0.94504714012146,0.11968085169792175,0.7377049326896667,0.9168856143951416,0.5955967903137207,MESH:D019636,500,False,False,True,DNN
