,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc,parent_disease,gene_count,show_plots,use_class_weights,oversample,model_type
0,0.21489238739013672,85.0,824.0,7967.0,15.0,0.9056349396705627,0.09350935369729996,0.8500000238418579,0.9541814923286438,0.6499595642089844,MESH:D019636,25,False,False,True,DNN
1,0.23551684617996216,85.0,1043.0,7752.0,11.0,0.8814531564712524,0.07535461336374283,0.8854166865348816,0.9423552751541138,0.12712621688842773,MESH:D019636,25,False,True,False,DNN
2,0.026538409292697906,56.0,11.0,8776.0,48.0,0.9933640956878662,0.8358209133148193,0.5384615659713745,0.9481325149536133,0.6597143411636353,MESH:D019636,25,False,False,False,DNN
3,0.1390552818775177,83.0,712.0,9480.0,19.0,0.9289877414703369,0.10440251231193542,0.813725471496582,0.9552802443504333,0.6691914200782776,MESH:D019636,50,False,False,True,DNN
4,0.2630046308040619,83.0,1101.0,9091.0,19.0,0.8911987543106079,0.07010135054588318,0.813725471496582,0.9405708909034729,0.5659767985343933,MESH:D019636,50,False,True,False,DNN
5,0.02339402213692665,57.0,2.0,10184.0,51.0,0.9948513507843018,0.9661017060279846,0.5277777910232544,0.9464892745018005,0.6795139312744141,MESH:D019636,50,False,False,False,DNN
6,0.1653476357460022,95.0,1192.0,9551.0,15.0,0.8887864947319031,0.07381507009267807,0.8636363744735718,0.9497482180595398,0.6568016409873962,MESH:D019636,75,False,False,True,DNN
7,0.18277816474437714,92.0,973.0,9772.0,16.0,0.9088731408119202,0.08638497442007065,0.8518518805503845,0.9616691470146179,0.688102126121521,MESH:D019636,75,False,True,False,DNN
8,0.016720689833164215,59.0,5.0,10754.0,35.0,0.9963144063949585,0.921875,0.6276595592498779,0.9652542471885681,0.7213572263717651,MESH:D019636,75,False,False,False,DNN
9,0.1319991499185562,104.0,616.0,10600.0,29.0,0.9431667923927307,0.14444445073604584,0.7819548845291138,0.9572141170501709,0.6537032723426819,MESH:D019636,100,False,False,True,DNN
10,0.23017451167106628,104.0,1621.0,9613.0,11.0,0.856198787689209,0.06028985604643822,0.904347836971283,0.9678553938865662,0.6362606287002563,MESH:D019636,100,False,True,False,DNN
11,0.020571617409586906,61.0,7.0,11238.0,43.0,0.995594322681427,0.8970588445663452,0.5865384340286255,0.9678514003753662,0.7285665273666382,MESH:D019636,100,False,False,False,DNN
12,0.13465535640716553,102.0,697.0,10829.0,27.0,0.9378807544708252,0.12765957415103912,0.7906976938247681,0.9517053961753845,0.6393057107925415,MESH:D019636,125,False,False,True,DNN
13,0.23923583328723907,100.0,1410.0,10140.0,5.0,0.8785929083824158,0.06622516363859177,0.9523809552192688,0.9734903573989868,0.6378681659698486,MESH:D019636,125,False,True,False,DNN
14,0.023551495745778084,60.0,3.0,11531.0,61.0,0.9945088028907776,0.9523809552192688,0.4958677589893341,0.9353402853012085,0.6628031134605408,MESH:D019636,125,False,False,False,DNN
15,0.11973785609006882,94.0,578.0,11289.0,31.0,0.9492161273956299,0.1398809552192688,0.7519999742507935,0.9223882555961609,0.6277291178703308,MESH:D019636,150,False,False,True,DNN
16,0.23262470960617065,105.0,1293.0,10585.0,9.0,0.8914276361465454,0.07510729879140854,0.9210526347160339,0.9670560956001282,0.625190019607544,MESH:D019636,150,False,True,False,DNN
17,0.025245923548936844,65.0,3.0,11858.0,66.0,0.9942461848258972,0.9558823704719543,0.49618321657180786,0.9305144548416138,0.6929308772087097,MESH:D019636,150,False,False,False,DNN
18,0.10725131630897522,97.0,585.0,11424.0,16.0,0.9504207372665405,0.14222873747348785,0.8584070801734924,0.9596300721168518,0.6724810600280762,MESH:D019636,175,False,False,True,DNN
19,0.18557333946228027,102.0,1084.0,10926.0,10.0,0.9097508788108826,0.0860033705830574,0.9107142686843872,0.9805428981781006,0.7074915170669556,MESH:D019636,175,False,True,False,DNN
20,0.020034970715641975,71.0,7.0,11996.0,48.0,0.9954627752304077,0.9102563858032227,0.5966386795043945,0.9482468366622925,0.7092888951301575,MESH:D019636,175,False,False,False,DNN
21,0.13546432554721832,95.0,837.0,11307.0,31.0,0.9292583465576172,0.10193133354187012,0.7539682388305664,0.9317783117294312,0.6099043488502502,MESH:D019636,200,False,False,True,DNN
22,0.23626194894313812,102.0,1643.0,10520.0,5.0,0.865688681602478,0.05845272168517113,0.9532710313796997,0.9776566624641418,0.6817256212234497,MESH:D019636,200,False,True,False,DNN
23,0.02650570124387741,72.0,5.0,12131.0,62.0,0.9945394992828369,0.9350649118423462,0.5373134613037109,0.9208624362945557,0.6944228410720825,MESH:D019636,200,False,False,False,DNN
24,0.12346650660037994,90.0,711.0,11599.0,30.0,0.940386176109314,0.11235955357551575,0.75,0.9301673173904419,0.5939714908599854,MESH:D019636,225,False,False,True,DNN
25,0.19754166901111603,123.0,1271.0,11022.0,14.0,0.89662104845047,0.0882352963089943,0.8978102207183838,0.9702911376953125,0.7042849063873291,MESH:D019636,225,False,True,False,DNN
26,0.02300955355167389,54.0,9.0,12304.0,63.0,0.9942075610160828,0.8571428656578064,0.4615384638309479,0.9298374652862549,0.6278157234191895,MESH:D019636,225,False,False,False,DNN
27,0.11926505714654922,91.0,629.0,11743.0,33.0,0.9470230340957642,0.12638889253139496,0.7338709831237793,0.9265693426132202,0.616989254951477,MESH:D019636,250,False,False,True,DNN
28,0.18424229323863983,116.0,1230.0,11137.0,13.0,0.9005281925201416,0.08618127554655075,0.8992248177528381,0.9719774723052979,0.652586817741394,MESH:D019636,250,False,True,False,DNN
